Date,Price,Open,High,Low,Change %,GDP,Inflation,FDI,Trade Balance,Unemployment Rate,Exchange Rate,Economic Growth
6/6/2022,2361.34,2374.68,2380.73,2359.6,-0.0052,7.1,7.7,1.56,26.63,4.7,93,7.1
6/5/2022,2373.8,2363.52,2379.87,2357.48,0.0077,7.1,7.7,1.56,26.63,4.7,93.18,7.1
6/2/2022,2355.68,2358.2,2374.56,2354.23,-0.0011,7.1,7.7,1.56,26.63,4.7,93.36,7.1
6/1/2022,2358.2,2358.62,2361.39,2349.94,0.0034,7.1,7.7,1.56,26.63,4.7,93.31,7.1
5/31/2022,2350.25,2350.88,2360.4,2342.38,-0.0002,7.1,7.7,1.56,26.63,4.7,93.36,7.1
5/30/2022,2350.8,2349.45,2365.58,2340.31,0.0016,7.1,7.7,1.56,26.63,4.7,93.4,7.1
5/29/2022,2346.94,2322.8,2350,2322.8,0.0171,7.1,7.7,1.56,26.63,4.7,93.45,7.1
5/26/2022,2307.38,2285.38,2313.01,2279.05,0.0085,7.1,7.7,1.56,26.63,4.7,93.4,7.1
5/25/2022,2287.98,2292.68,2295.1,2263.65,-0.0031,7.1,7.7,1.56,26.63,4.7,93.31,7.1
5/24/2022,2295.05,2309.93,2322,2287.43,-0.0064,7.1,7.7,1.56,26.63,4.7,92.72,7.1
5/23/2022,2309.75,2302.6,2329.47,2302.6,0.0143,7.1,7.7,1.56,26.63,4.7,92.63,7.1
5/22/2022,2277.16,2321.51,2329.93,2272.87,-0.0171,7.1,7.7,1.56,26.63,4.7,92.86,7.1
5/19/2022,2316.68,2316.4,2316.68,2313.49,-0.0085,7.1,7.7,1.56,26.63,4.7,92.72,7.1
5/18/2022,2336.48,2364,2379.73,2316.4,-0.0115,7.1,7.7,1.56,26.63,4.7,92.9,7.1
5/17/2022,2363.66,2366.43,2386.83,2330.13,-0.001,7.1,7.7,1.56,26.63,4.7,92.81,7.1
5/16/2022,2365.92,2365.92,2365.92,2365.92,-0.017,7.1,7.7,1.56,26.63,4.7,92.9,7.1
5/12/2022,2406.91,2422.16,2426.46,2403.04,-0.0057,7.1,7.7,1.56,26.63,4.7,92.81,7.1
5/11/2022,2420.64,2438.65,2441.02,2417.12,-0.0062,7.1,7.7,1.56,26.63,4.7,93.67,7.1
5/10/2022,2435.77,2449.84,2455.16,2429.2,-0.0056,7.1,7.7,1.56,26.63,4.7,93.76,7.1
5/9/2022,2449.39,2450.43,2460.44,2448.21,0.0001,7.1,7.7,1.56,26.63,4.7,92.81,7.1
5/8/2022,2449.25,2447.8,2451.39,2447.07,-0.0018,7.1,7.7,1.56,26.63,4.7,92.9,7.1
5/5/2022,2453.57,2453.42,2456.5,2450.91,-0.0029,7.1,7.7,1.56,26.63,4.7,91.95,7.1
4/28/2022,2460.76,2460.76,2460.76,2460.76,-0.0022,7.1,7.7,1.56,26.63,4.7,91.23,7.1
4/27/2022,2466.16,2474.22,2475.75,2462.53,-0.0033,7.1,7.7,1.56,26.63,4.7,88.82,7.1
4/26/2022,2474.32,2477.75,2479.15,2462.95,-0.0009,7.1,7.7,1.56,26.63,4.7,88.91,7.1
4/25/2022,2476.57,2484.2,2484.2,2466.38,-0.0038,7.1,7.7,1.56,26.63,4.7,88.91,7.1
4/24/2022,2486.12,2477.43,2501.85,2477.43,0.0032,7.1,7.7,1.56,26.63,4.7,88.91,7.1
4/21/2022,2478.07,2466.44,2480.09,2466.44,0.0058,7.1,7.7,1.56,26.63,4.7,89,7.1
4/20/2022,2463.83,2436.3,2466.07,2436.3,0.0114,7.1,7.7,1.56,26.63,4.7,87.63,7.1
4/19/2022,2436.11,2410.59,2444.62,2386.99,0.011,7.1,7.7,1.56,26.63,4.7,87.72,7.1
4/18/2022,2409.68,2434.49,2434.49,2404.7,-0.0104,7.1,7.7,1.56,26.63,4.7,87.81,7.1
4/17/2022,2435,2441.29,2452.63,2432.38,-0.0022,7.1,7.7,1.56,26.63,4.7,87.72,7.1
4/13/2022,2440.45,2432.28,2444.27,2411.61,0.0036,7.1,7.7,1.56,26.63,4.7,87.72,7.1
4/12/2022,2431.64,2452.14,2461.54,2426.87,-0.0083,7.1,7.7,1.56,26.63,4.7,87.14,7.1
4/11/2022,2451.91,2460.65,2465.53,2450.92,-0.0027,7.1,7.7,1.56,26.63,4.7,87.32,7.1
4/10/2022,2458.51,2451.59,2470.65,2451.59,0.0028,7.1,7.7,1.56,26.63,4.7,87.41,7.1
4/7/2022,2451.59,2448.8,2455,2447.56,-0.003,7.1,7.7,1.56,26.63,4.7,87.41,7.1
4/6/2022,2459.03,2464.62,2470.82,2452,-0.0023,7.1,7.7,1.56,26.63,4.7,87.41,7.1
4/5/2022,2464.62,2468.71,2468.71,2456.9,-0.0017,7.1,7.7,1.56,26.63,4.7,86.61,7.1
4/4/2022,2468.71,2487.97,2487.97,2465.05,-0.0077,7.1,7.7,1.56,26.63,4.7,86.7,7.1
4/3/2022,2487.97,2474,2490.55,2474,0.0056,7.1,7.7,1.56,26.63,4.7,86.61,7.1
3/31/2022,2474,2465.59,2474.88,2461.15,0.0034,7.1,7.7,1.56,26.63,4.7,86.7,7.1
3/30/2022,2465.59,2471.08,2477.05,2463.8,-0.0022,7.1,7.7,1.56,26.63,4.7,86.52,7.1
3/29/2022,2471.08,2468.05,2479.09,2468.05,0.0012,7.1,7.7,1.56,26.63,4.7,86.18,7.1
3/28/2022,2468.05,2462.9,2476.08,2462.9,0.0021,7.1,7.7,1.56,26.63,4.7,86.36,7.1
3/27/2022,2462.9,2466.74,2471.92,2460.21,-0.0016,7.1,7.7,1.56,26.63,4.7,86.27,7.1
3/24/2022,2466.74,2469.43,2472.24,2460.53,-0.0011,7.1,7.7,1.56,26.63,4.7,86.18,7.1
3/23/2022,2469.43,2471.05,2488.68,2465.4,-0.0007,7.1,7.7,1.56,26.63,4.7,86.27,7.1
3/22/2022,2471.05,2436.28,2476.76,2436.28,0.0143,7.1,7.7,1.56,26.63,4.7,86.36,7.1
3/21/2022,2436.28,2434.98,2440.63,2419.51,0.0005,7.1,7.7,1.56,26.63,4.7,86.36,7.1
3/20/2022,2434.98,2458.49,2462.56,2432.27,-0.0096,7.1,7.7,1.56,26.63,4.7,86.36,7.1
3/16/2022,2458.49,2458.97,2465.8,2456.72,-0.0002,7.1,7.7,1.56,26.63,4.7,86.36,7.1
3/15/2022,2458.97,2460.48,2464.97,2453.36,-0.0006,7.1,7.7,1.56,26.63,4.7,86.11,7.1
3/14/2022,2460.48,2463.19,2469.25,2453.06,-0.0011,7.1,7.7,1.56,26.63,4.7,86.02,7.1
3/13/2022,2463.19,2425.1,2465.2,2425.1,0.0157,7.1,7.7,1.56,26.63,4.7,86.2,7.1
3/10/2022,2425.1,2415.59,2455.2,2415.59,0.0039,7.1,7.7,1.56,26.63,4.7,86.2,7.1
3/9/2022,2415.59,2374.07,2421.11,2374.07,0.0175,7.1,7.7,1.56,26.63,4.7,86.11,7.1
3/8/2022,2374.07,2374.39,2392.06,2317.4,-0.0001,7.1,7.7,1.56,26.63,4.7,86.03,7.1
3/7/2022,2374.39,2438.94,2444.37,2372.05,-0.0265,7.1,7.7,1.56,26.63,4.7,85.94,7.1
3/6/2022,2438.94,2462.94,2464.39,2434.54,-0.0097,7.1,7.7,1.56,26.63,4.7,86.11,7.1
3/3/2022,2462.94,2470.5,2479.06,2447.24,-0.0031,7.1,7.7,1.56,26.63,4.7,85.93,7.1
3/2/2022,2470.5,2489.96,2498.66,2463.17,-0.0078,7.1,7.7,1.56,26.63,4.7,85.94,7.1
3/1/2022,2489.96,2482.35,2508.44,2481.22,0.0031,7.1,7.7,1.56,26.63,4.7,86.02,7.1
2/28/2022,2482.35,2467.9,2495.42,2467.9,0.0059,7.1,7.7,1.56,26.63,4.7,86.11,7.1
2/27/2022,2467.9,2514.97,2514.97,2458.51,-0.0187,7.1,7.7,1.56,26.63,4.7,86.01,7.1
2/24/2022,2514.97,2550.5,2556.2,2509.63,-0.0139,7.1,7.7,1.56,26.63,4.7,86.1,7.1
2/23/2022,2550.5,2536.36,2554.85,2536.36,0.0056,7.1,7.7,1.56,26.63,4.7,86.03,7.1
2/22/2022,2536.36,2545.61,2553.11,2528.73,-0.0036,7.1,7.7,1.56,26.63,4.7,86.11,7.1
2/21/2022,2545.61,2545.61,2545.61,2545.61,-0.011,7.1,7.7,1.56,26.63,4.7,86.2,7.1
2/17/2022,2573.85,2598.6,2599.2,2568.89,-0.0095,7.1,7.7,1.56,26.63,4.7,86.2,7.1
2/16/2022,2598.6,2589.25,2609.59,2589.25,0.0036,7.1,7.7,1.56,26.63,4.7,86.2,7.1
2/15/2022,2589.25,2597.13,2597.41,2583.88,-0.003,7.1,7.7,1.56,26.63,4.7,86.11,7.1
2/14/2022,2597.13,2605.05,2614.77,2593.4,-0.003,7.1,7.7,1.56,26.63,4.7,86.02,7.1
2/13/2022,2605.05,2597.49,2606.95,2596.18,0.0029,7.1,7.7,1.56,26.63,4.7,86.11,7.1
2/10/2022,2597.49,2604.98,2606.28,2594.95,-0.0029,7.1,7.7,1.56,26.63,4.7,86.19,7.1
2/9/2022,2604.98,2610.33,2618.38,2598.97,-0.002,7.1,7.7,1.56,26.63,4.7,86.2,7.1
2/8/2022,2610.33,2607.72,2616.27,2605.32,0.001,7.1,7.7,1.56,26.63,4.7,86,7.1
2/7/2022,2607.72,2611.54,2628.92,2601.1,-0.0015,7.1,7.7,1.56,26.63,4.7,85.91,7.1
2/6/2022,2611.54,2592.34,2620.45,2592.34,0.0074,7.1,7.7,1.56,26.63,4.7,86,7.1
2/3/2022,2592.34,2592.77,2601.66,2583.52,-0.0002,7.1,7.7,1.56,26.63,4.7,85.86,7.1
2/2/2022,2592.77,2588.56,2610.17,2588.56,0.0016,7.1,7.7,1.56,26.63,4.7,85.91,7.1
2/1/2022,2588.56,2559.14,2592.99,2559.14,0.0115,7.1,7.7,1.56,26.63,4.7,85.82,7.1
1/31/2022,2559.14,2585.15,2593.79,2556.82,-0.0101,7.1,7.7,1.56,26.63,4.7,85.91,7.1
1/30/2022,2585.15,2602.33,2612.36,2581.4,-0.0066,7.1,7.7,1.56,26.63,4.7,85.91,7.1
1/27/2022,2602.33,2612.16,2618.22,2600.77,-0.0038,7.1,7.7,1.56,26.63,4.7,85.86,7.1
1/26/2022,2612.16,2613.33,2626.22,2611.15,-0.0004,7.1,7.7,1.56,26.63,4.7,85.95,7.1
1/25/2022,2613.33,2614.26,2632.25,2610.57,-0.0004,7.1,7.7,1.56,26.63,4.7,85.74,7.1
1/24/2022,2614.26,2629.44,2645.4,2609.96,-0.0058,7.1,7.7,1.56,26.63,4.7,85.91,7.1
1/23/2022,2629.44,2635.38,2648.27,2622.94,-0.0023,7.1,7.7,1.56,26.63,4.7,85.78,7.1
1/20/2022,2635.38,2617.3,2640.24,2617.3,0.0069,7.1,7.7,1.56,26.63,4.7,85.7,7.1
1/19/2022,2617.3,2598.95,2622.76,2597.84,0.0071,7.1,7.7,1.56,26.63,4.7,85.77,7.1
1/18/2022,2598.95,2607.83,2624.58,2596.98,-0.0034,7.1,7.7,1.56,26.63,4.7,85.95,7.1
1/17/2022,2607.83,2598.34,2615.11,2598.34,0.0037,7.1,7.7,1.56,26.63,4.7,85.86,7.1
1/16/2022,2598.34,2616.3,2628.09,2595.34,-0.0069,7.1,7.7,1.56,26.63,4.7,85.78,7.1
1/13/2022,2616.3,2606.78,2619.27,2601.97,0.0037,7.1,7.7,1.56,26.63,4.7,85.77,7.1
1/12/2022,2606.78,2626.66,2640.79,2602.91,-0.0076,7.1,7.7,1.56,26.63,4.7,85.86,7.1
1/11/2022,2626.66,2606.54,2649.85,2606.54,0.0077,7.1,7.7,1.56,26.63,4.7,85.86,7.1
1/10/2022,2606.54,2579.12,2611.48,2569.48,0.0013,7.1,7.7,1.56,26.63,4.7,85.76,7.1
1/6/2022,2603.08,2575.88,2607.4,2575.88,0.0106,7.1,7.7,1.56,26.63,4.7,85.8,7.1
1/5/2022,2575.88,2571.18,2582.77,2571.18,0.0018,7.1,7.7,1.56,26.63,4.7,85.77,7.1
1/4/2022,2571.18,2576.11,2577.15,2559.39,-0.0019,7.1,7.7,1.56,26.63,4.7,85.95,7.1
1/3/2022,2576.11,2560.64,2593.48,2560.64,0.006,7.1,7.7,1.56,26.63,4.7,85.86,7.1
1/2/2022,2560.64,2532.58,2566.94,2532.58,0.0111,7.1,7.7,1.56,26.63,4.7,85.8,7.1
12/30/2021,2532.58,2522.31,2536.72,2522.31,0.0041,6.94,5.55,1.72,20.14,5.1,85.79,6.94
12/29/2021,2522.31,2523.78,2537.58,2519.86,-0.0006,6.94,5.55,1.72,20.14,5.1,85.7,6.94
12/28/2021,2523.78,2504.08,2525.29,2503,0.0079,6.94,5.55,1.72,20.14,5.1,85.79,6.94
12/27/2021,2504.08,2488.04,2511.48,2487.71,0.0064,6.94,5.55,1.72,20.14,5.1,85.8,6.94
12/26/2021,2488.04,2511.99,2516.68,2476.43,-0.0095,6.94,5.55,1.72,20.14,5.1,85.95,6.94
12/23/2021,2511.99,2536.45,2539.37,2509.52,-0.0096,6.94,5.55,1.72,20.14,5.1,85.8,6.94
12/22/2021,2536.45,2538.51,2550.1,2533.38,-0.0008,6.94,5.55,1.72,20.14,5.1,85.86,6.94
12/21/2021,2538.51,2528.66,2548.04,2528.44,0.0039,6.94,5.55,1.72,20.14,5.1,85.86,6.94
